id,title,availability,condition,description,image_link,link,price,brand,google_product_category,item_group_id
10528,"BELDON POS 80MM THERMAL PRINTER","out of stock",New,"WARRANTY – 1 YEAR  POS – 80 mm BELDON THERMAL RECEIPT BILL PRINTER.  CUTTER LIFE 1.5 MILLION CUTS  WALL MOUNTABLE  PRINTER HEADLIFE 150KM  PRINTING SPEED 230MM/S",https://synnex.lk/wp-content/uploads/2026/04/BNPP-991-USB_0-2.jpeg,https://synnex.lk/product/beldon-pos-80mm-thermal-printer/,"16900.00 LKR",Products,,
10529,"BELDON CASH BASIC COUNTING MACHINE","in stock",New,"Beldon Cash Counter Machine   	Brand – Beldon  	Model – Bn-Mc900i  	Warranty – 1 Year  Features   	Automatic Start, Stop and Clear  	with Uv, mg, ir, dd Detection While Counting  	Automatic Half Note, Chain Note, Double Note Detection  	with Total Value Calculating Function (optional)  Specifications   	Hopper Capacity : 200 Bills  	Stacker Capacity : 200 Bills  	Counting Display : 4 Digits  	Batch Display : 3 Digits",https://synnex.lk/wp-content/uploads/2026/04/BN-MC900i_1-1.jpeg,https://synnex.lk/product/beldon-cash-basic-counting-machine/,"48500.00 LKR",Products,,
10530,"BELDON HEAVY DUTY 5 NOTES AND 8 COINS CASH DRAWER","in stock",New,"BELDON - HEAVY DUTY 5 NOTES AND 8 COINS CASH DRAWER  BRAND: BELDON  MODEL NO: - BN-CD333I  WARRANTY: 1YEAR  5 NOTES &amp; 8 COINS  RJ 11 PORT  AUTOMATED CASH DRAWER CAN CONNECT WITH ANY CASH DRAWER PORT OF POS PRINTERS.  HARDY HEAVY CASH DRAWER WITH RUST FREE METAL  CAN CONNECT WITH ANY CASH DRAWER PORT AVAILABLE",https://synnex.lk/wp-content/uploads/2026/04/e326f6ce-a74a-4081-b0f5-e3c7eaccd963-1.jpg,https://synnex.lk/product/beldon-heavy-duty-5-notes-and-8-coins-cash-drawer/,"15900.00 LKR",Products,,
10531,"Epson - A4 Inktank Printer","in stock",New,"EPSON L1218 A4 INKTANK PRINTER  BRAND - EPSON  MODEL – L1218  WARRANTY - 1 YAER  PRINTER TYPE - COLOR INKJET  CONNECTIVITY - USB  PRINTER TYPE: PRINT  PRINT METHOD: ON-DEMAND INKJET (PIEZOELECTRIC)  PRINTER LANGUAGE: ESC/P-R, ESC/P RASTER  NOZZLE CONFIGURATION:180 X 1 NOZZLES BLACK, 59 X 1 NOZZLES PER COLOR (CYAN, MAGENTA, YELLOW)  MAXIMUM RESOLUTION:5760 X 1440 DPI  AUTOMATIC 2-SIDED PRINTING: NO  PHOTO DEFAULT - 10 X 15 CM / 4 X 6 "" *1: APPROX. 69 SEC PER PHOTO (BORDER) / 90 SEC PER PHOTO (BORDERLESS)*2  DRAFT, A4 (BLACK / COLOR): UP TO 33.0 PPM / 15.0 PPM*2  ISO 24734, A4 SIMPLEX (BLACK / COLOR): UP TO 10.0 IPM / 5.0 IPM*2  FIRST PAGE OUT TIME FROM READY MODE (BLACK / COLOR): APPROX. 10 SEC / 16 SEC*",https://synnex.lk/wp-content/uploads/2026/04/L1218-_-1-1.jpg,https://synnex.lk/product/epson-a4-inktank-printer/,"59000.00 LKR",Products,,
10532,"XPRINTER 2 INCH THERMAL RECEIPT BILL PRINTER","out of stock",New,"&nbsp;      Brand: XPRINTER  Model: XP-58IINT  WARRANTY – 1 YEAR  Interface: USB  Printing Speed: 90mm/s  Supports cash drawer/cash registers",https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2023-06-17-at-12.03.38-1.jpeg,https://synnex.lk/product/xprinter-2-inch-thermal-receipt-bill-printer/,"7400.00 LKR",Products,,
10533,"BELDON - DESKTOP 2D BARCODE SCANNER - BN- BS 1900D","in stock",New,"Features  Hand-free Platform 2D barcode scanners have big windows for efficient scanning and quick decode suitable for supermarkets.  It supports reading 1D/2D bar codes and QR codes for payment. It is at a favorable cost which helps you to get more market share.",https://synnex.lk/wp-content/uploads/2026/04/Untitled-design-2026-01-20T101237.022-1.png,https://synnex.lk/product/beldon-desktop-2d-barcode-scanner-bn-bs-1900d/,"15500.00 LKR",Products,,
10534,"XPRINTER – 80mm Thermal Receipt Bill Printer  XP-Q805K","out of stock",New,&nbsp;,https://synnex.lk/wp-content/uploads/2026/04/POSX805K-1.jpg,https://synnex.lk/product/xprinter-80mm-thermal-receipt-bill-printer-xp-q805k/,"14500.00 LKR",Products,,
10535,"WIFI & 4G CLOUD IP PAN/TILT CAMERA","in stock",New,"WIFI &amp; 4G CLOUD IP PAN/TILT CAMERA  BRAND - O-KAM Pro  MODEL - P29 WIFI 300W  WARRANTY – 6 Months  4G SIM &amp; WIFI CONNECTION  TF CAED : MICRO SD CARD  MOBILE PHONE QUICK CONFIGURATION  FREE CLOUD STORAGE FOR 30 DAYS EXPERIENCE  INFORMATION PUSH  AP HOTSPOT MODE  ENHANCED INFRARED NIGHT VISION  MULTI PERSON SHARING  VOICE INTERCOM  MOTION DETECTION  REMOTE OPERATION  POWERFUL ANTENNA  EXCELLENT INTERFARED AND SHARP IMAGE IN DARKNESS",https://synnex.lk/wp-content/uploads/2026/04/wifi-camera-1.webp,https://synnex.lk/product/wifi-4g-cloud-ip-pan-tilt-camera/,"9500.00 LKR",Products,,
10536,"XPRINTER - 2 Inch Mobile Thermal Bluetooth Printer","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/XP-P502A-1.jpg,https://synnex.lk/product/xprinter-2-inch-mobile-thermal-bluetooth-printer/,"13500.00 LKR",Products,,
10537,"BELDON – 2D POCKET/INVENTORY WIRELESS BARCODE SCANNER BN-DC300RS","in stock",New,"BELDON – 2D POCKET WIRELESS BARCODE SCANNER  BRAND – BELDON  MODEL – BN-DC300RS  WARRANTY – 1 YEAR  ONE MILLION PIXEL 1280PIXEL *800 PIXEL.  DON’T NEED ANY DRIVER, PLUG AND PLAY.  READ 1D AND 2D CODE ON SCREEN AND PAPER.  CHARGE TIME IS 3 HOURS AND CONTINUOUS SCANNING TIME IS 24 HOURS.  SUPPORT DOUBLE FIRMWARE UPGRADE ONLINE: WIRELESS AND DECODER.  COMMUNICATION DISTANCE(OPEN AIR) :  SMART BODY, UNIQUE AND ERGONOMIC DESIGN, COMFORTABLE OPERATING SENSE.  SUPPORT SCREEN DISPLAY VERSION (1.44 INCH COLOR SCREEN), REAL-TIME OBSERVATION OF BATTERY POWER， SEE THE READ BARCODE DATA  &nbsp;",https://synnex.lk/wp-content/uploads/2026/04/01-2.jpg,https://synnex.lk/product/beldon-2d-pocket-inventory-wireless-barcode-scanner-bn-dc300rs/,"35000.00 LKR",Products,,
